date,net_change,total_expand,expand_establish,open_establish,total_contract,contract_establish,end_establish,industry
12/31/07,7,1031,865,166,1024,885,139,Retail trade
3/31/08,-1,989,826,163,990,855,135,Retail trade
6/30/08,-181,938,775,163,1119,971,148,Retail trade
9/30/08,-147,913,749,164,1060,916,144,Retail trade
12/31/08,-359,840,699,141,1199,1043,156,Retail trade
3/31/09,-254,774,636,138,1028,841,187,Retail trade
6/30/09,-83,868,726,142,951,809,142,Retail trade
9/30/09,-81,848,712,136,929,787,142,Retail trade
12/31/09,-126,818,698,120,944,817,127,Retail trade
3/31/10,6,814,694,120,808,691,117,Retail trade
6/30/10,107,896,761,135,789,684,105,Retail trade
9/30/10,-70,811,679,132,881,767,114,Retail trade
12/31/10,77,898,761,137,821,702,119,Retail trade
3/31/11,8,826,707,119,818,705,113,Retail trade
6/30/11,115,904,769,135,789,668,121,Retail trade
9/30/11,34,893,750,143,859,749,110,Retail trade
12/31/11,78,903,775,128,825,701,124,Retail trade
3/31/12,58,905,775,130,847,741,106,Retail trade
6/30/12,71,897,756,141,826,723,103,Retail trade
9/30/12,-12,855,711,144,867,755,112,Retail trade
12/31/12,97,927,789,138,830,712,118,Retail trade
3/31/13,25,907,781,126,882,774,108,Retail trade
6/30/13,169,947,812,135,778,670,108,Retail trade
9/30/13,60,904,767,137,844,744,100,Retail trade
12/31/13,117,952,821,131,835,720,115,Retail trade
3/31/14,-14,877,755,122,891,786,105,Retail trade
6/30/14,136,971,836,135,835,721,114,Retail trade
9/30/14,2,904,774,130,902,791,111,Retail trade
12/31/14,114,955,831,124,841,727,114,Retail trade
3/31/15,32,916,789,127,884,770,114,Retail trade
6/30/15,163,998,867,131,835,722,113,Retail trade
9/30/15,-2,928,796,132,930,817,113,Retail trade
12/31/15,4,926,799,127,922,790,132,Retail trade
3/31/16,102,969,844,125,867,758,109,Retail trade
6/30/16,21,933,803,130,912,801,111,Retail trade
9/30/16,2,958,818,140,956,832,124,Retail trade
12/31/16,-28,895,777,118,923,803,120,Retail trade
3/31/17,55,945,817,128,890,782,108,Retail trade
6/30/17,-6,930,802,128,936,807,129,Retail trade
9/30/17,-95,891,764,127,986,860,126,Retail trade
12/31/17,9,907,793,114,898,783,115,Retail trade
3/31/18,71,919,811,108,848,748,100,Retail trade
9/30/92,603,5393,4140,1253,4790,3715,1075,Service-providing
12/31/92,123,5062,3893,1169,4939,3939,1000,Service-providing
3/31/93,406,5407,4025,1382,5001,3864,1137,Service-providing
6/30/93,573,5324,4178,1146,4751,3711,1040,Service-providing
9/30/93,847,5570,4325,1245,4723,3741,982,Service-providing
12/31/93,421,5355,4173,1182,4934,3923,1011,Service-providing
3/31/94,621,5655,4374,1281,5034,3919,1115,Service-providing
6/30/94,579,5606,4318,1288,5027,3904,1123,Service-providing
9/30/94,1035,5940,4598,1342,4905,3925,980,Service-providing
12/31/94,279,5502,4304,1198,5223,4148,1075,Service-providing
3/31/95,764,5990,4635,1355,5226,4140,1086,Service-providing
6/30/95,299,5691,4400,1291,5392,4277,1115,Service-providing
9/30/95,773,5966,4698,1268,5193,4054,1139,Service-providing
12/31/95,268,5774,4470,1304,5506,4360,1146,Service-providing
3/31/96,571,6159,4716,1443,5588,4379,1209,Service-providing
6/30/96,444,5998,4600,1398,5554,4387,1167,Service-providing
9/30/96,646,6194,4766,1428,5548,4345,1203,Service-providing
12/31/96,630,6138,4708,1430,5508,4364,1144,Service-providing
3/31/97,756,6379,4885,1494,5623,4378,1245,Service-providing
6/30/97,421,6020,4654,1366,5599,4416,1183,Service-providing
9/30/97,806,6451,5050,1401,5645,4341,1304,Service-providing
12/31/97,481,6439,4958,1481,5958,4525,1433,Service-providing
3/31/98,693,6770,5086,1684,6077,4555,1522,Service-providing
6/30/98,495,6561,4890,1671,6066,4660,1406,Service-providing
9/30/98,760,6563,5028,1535,5803,4468,1335,Service-providing
12/31/98,613,6427,5018,1409,5814,4493,1321,Service-providing
3/31/99,581,6805,5145,1660,6224,4726,1498,Service-providing
6/30/99,589,6522,5006,1516,5933,4608,1325,Service-providing
9/30/99,598,6596,5128,1468,5998,4613,1385,Service-providing
12/31/99,800,6678,5233,1445,5878,4580,1298,Service-providing
3/31/00,724,6905,5346,1559,6181,4827,1354,Service-providing
6/30/00,453,6513,5141,1372,6060,4797,1263,Service-providing
9/30/00,507,6630,5182,1448,6123,4761,1362,Service-providing
12/31/00,266,6420,5055,1365,6154,4845,1309,Service-providing
3/31/01,123,6716,5240,1476,6593,5034,1559,Service-providing
6/30/01,-366,6220,4818,1402,6586,5191,1395,Service-providing
9/30/01,-627,5957,4567,1390,6584,5144,1440,Service-providing
12/31/01,-571,5875,4534,1341,6446,5117,1329,Service-providing
3/31/02,329,6452,4931,1521,6123,4795,1328,Service-providing
6/30/02,128,6127,4699,1428,5999,4704,1295,Service-providing
9/30/02,89,5996,4674,1322,5907,4683,1224,Service-providing
12/31/02,-48,5841,4570,1271,5889,4665,1224,Service-providing
3/31/03,-69,5928,4626,1302,5997,4755,1242,Service-providing
6/30/03,57,5744,4534,1210,5687,4530,1157,Service-providing
9/30/03,343,5794,4584,1210,5451,4357,1094,Service-providing
12/31/03,277,5857,4598,1259,5580,4439,1141,Service-providing
3/31/04,441,6087,4808,1279,5646,4462,1184,Service-providing
6/30/04,499,6024,4764,1260,5525,4329,1196,Service-providing
9/30/04,242,5988,4674,1314,5746,4489,1257,Service-providing
12/31/04,611,6111,4785,1326,5500,4348,1152,Service-providing
3/31/05,397,6026,4772,1254,5629,4464,1165,Service-providing
6/30/05,489,6058,4765,1293,5569,4421,1148,Service-providing
